x,y
12,637
473,59834
209,16399
627,98240
594,103803
1379,340341
462,65463
1163,259442
906,215419
995,214580
974,206387
1172,308349
479,68477
137,12224
1348,330279
184,16395
952,204740
124,9336
260,28273
61,4878
1387,343326
568,72395
993,194436
742,115104
1331,309167
660,95887
681,111018
1256,278946
1064,217459
49,2525
1241,359321
617,117055
1244,332076
1269,328202
738,149249
1267,310899
505,62720
333,37099
942,188391
356,47858
162,12309
69,4255
1189,257289
455,54146
51,3107
1346,307495
268,32880
1404,335396
330,44907
140,9989
958,189800
249,32767
922,183997
726,117510
887,180373
964,188537
623,132249
319,48957
1398,362925
470,88977
582,109510
650,135315
607,121740
593,109491
677,136495
320,34013
332,56782
185,18523
1384,347554
784,175269
114,9886
1068,231558
555,108373
257,29465
498,100555
1497,413581
892,198532
450,72142
1191,292724
10,597
1106,295084
916,203710
1327,415849
1247,427966
971,285086
1170,362128
1284,457825
33,2704
1041,319521
989,308670
383,47589
1180,279638
934,201537
270,23617
883,168492
144,20768
381,41250
401,46675
1042,212543
47,2437
257,22848
51,3065
1013,210212
688,109379
66,5687
829,151741
1483,354267
1453,453866
1144,271234
1048,272579
1057,248329
484,59190
254,37374
886,206897
951,215126
1143,288158
1086,252606
256,27448
185,17942
1081,266770
1112,263652
271,27895
495,67548
929,176928
918,177929
778,143882
1200,287494
35,2405
989,221378
899,188117
881,179105
476,71247
122,11859
515,71071
1371,335801
1075,263229
422,55495
641,112379
932,194912
987,215930
861,175379
1159,270076
1203,281924
164,13907
985,213889
1460,399113
381,47366
165,15309
496,74148
1042,250867
966,216845
479,70738
262,31306
629,111017
366,46660
1043,226363
1066,235462
1090,243795
788,156176
1283,313335
187,25158
42,2438
240,20030
502,64438
965,189060
1405,328827
180,24153
1049,218948
1320,300685
966,191121
181,24349
901,183370
555,122728
804,168707
83,6300
599,136244
1277,325725
424,50071
798,140847
189,17340
330,40437
1172,246563
589,75802
1179,250592
594,79344
58,4213
1408,337642
86,16140
1207,260670
1307,298511
1344,305094
78,15802
75,4765
1147,249103
289,37957
418,44301
521,66660
1068,249785
1386,405759
8,530
707,164876
39,3050
509,101461
1384,334301
994,184733
1181,247306
1329,297940
841,191232
733,165758
800,172480
836,189188
1111,268147
620,112752
1067,254920
563,99359
297,34245
106,23185
281,49422
329,49728
1494,363785
1309,287390
905,161297
524,65515
1151,238132
807,128977
1493,367840
123,8702
1052,202321
842,136577
173,12931
207,17195
547,68779
1015,196489
504,62096
205,16439
19,995
474,61487
434,49576
782,139029
285,36170
1165,334089
593,97801
791,144544
1021,220244
615,87019
1197,265241
982,241309
408,52058
535,76261
964,189422
354,45915
1126,240971
509,60436
494,60632
118,10186
318,33082
1412,323896
829,142646
278,25710
1233,271306
1076,223190
101,17286
764,124547
418,45610
523,72670
1356,309429
353,44807
77,4967
994,199309
1227,265700
534,67298
844,168597
502,91493
414,65450
466,87017
235,35698
724,143000
926,197355
959,205240
1493,361446
1465,353791
658,93993
1349,307650
1282,288392
37,1984
901,173863
1347,308540
1060,215725
1063,220851
262,33342
274,23929
1097,309425
470,65566
1062,252870
756,169800
968,202420
939,187080
73,15280
952,187970
1185,258141
1396,334468
239,30009
1184,260715
1129,236745
1112,234961
1220,270079
701,103719
958,178970
96,16502
1382,316385
1312,393056
193,19188
559,120867
218,32945
1204,334839
844,192389
634,122239
646,133241
809,176708
554,107388
112,9393
935,225928
1273,333449
1281,319666
1402,326503
539,79034
689,112162
1336,297231
325,44363
751,122915
1153,255638
1081,280418
1171,303461
429,50289
395,46853
679,108855
406,44901
634,93440
431,47820
531,74965
127,17676
503,59151
1449,347504
35,1787
1039,210270
1209,262557
717,108684
712,118686
12,520
898,173950
476,54852
1240,275759
861,150425
313,29527
326,37732
1383,325845
192,21670
413,46201
724,137778
266,31146
583,90717
509,90912
80,7063
1165,295813
953,228324
599,108237
991,224470
133,13237
363,43979
1363,343320
1477,394626
1470,425539
193,17796
1192,374641
1274,319757
1283,325230
1125,260114
615,112099
1121,272206
829,190184
183,16170
1407,363172
733,142106
112,7877
1465,380200
267,27211
283,29747
1264,281730
420,45506
561,74045
1464,341890
1307,296081
1095,228604
1238,304294
1045,261610
509,88163
797,177521
416,77256
89,7642
1257,328164
593,108788
940,213835
1212,310625
1041,244698
234,23028
1402,372797
716,155760
122,10635
404,79502
487,73742
1375,330335
122,11049
941,244928
663,138882
445,69572
802,172888
49,3670
1397,395084
1441,500259
421,62212
90,7605
995,279390
723,154192
1445,698329
1122,292830
1397,476643
1004,263068
1129,295694
61,4878
108,7389
1318,362628
1201,296625
132,12791
923,223529
500,78073
832,184299
1179,283861
202,18448
1226,310531
1391,371279
1330,340669
69,5407
800,185025
215,20228
621,134919
407,54958
613,121642
235,23180
256,22058
120,8450
402,50241
810,142669
238,22681
1315,388490
780,171826
735,246140
1361,435956
1197,314431
284,31081
7,405
972,218896
403,50673
992,213441
210,20142
896,206465
478,72358
381,51690
330,65831
267,40612
721,158059
296,32785
1228,288906
902,189242
68,4840
132,12449
45,3146
47,3393
917,187914
916,179415
385,52781
259,23035
927,185225
100,17358
1131,245182
342,44855
581,83228
288,27748
119,10488
845,154769
1085,230537
1240,305568
1163,330927
1117,264162
110,8365
656,126556
236,22087
992,201440
1088,272563
1488,402984
1288,286410
1366,318231
561,102509
1467,407553
583,91114
699,120515
1097,241527
1308,325663
636,132529
300,30284
1208,289220
1246,321529
812,174935
882,194043
556,101307
672,124271
687,125778
1254,371877
1161,381042
362,44876
428,61794
895,184788
1160,275740
844,198680
742,145829
171,14112
1464,382282
1103,252380
266,28753
758,147683
7,331
626,110055
1092,254821
306,33038
809,160672
1054,228367
422,58444
1313,309869
508,76890
863,155950
777,123187
885,184644
598,100934
1298,392481
669,129272
309,35700
1226,291144
1249,329820
969,211184
565,96439
434,82107
385,64517
1329,329703
973,211760
371,46840
595,104329
1085,241655
291,37002
1121,245558
1214,268590
694,106561
239,21933
194,19418
829,151690
1073,222221
302,38520
1184,265872
1321,341727
600,108930
453,81809
298,47976
17,1235
1144,277174
680,152256
633,94625
49,3989
1191,262354
1014,203379
355,46131
809,141116
739,119657
806,138699
119,10182
395,48179
530,71703
813,154203
776,125680
847,166289
427,67818
712,141494
955,259227
227,30822
1283,328460
569,104742
203,22549
1263,315644
847,180777
1449,392238
1026,240129
1239,309060
1497,402351
158,14802
1143,286088
568,97915
762,150036
678,142409
358,41217
302,62283
723,158207
57,4163
779,199262
1452,386891
1378,372001
980,226600
995,236314
590,123949
1418,380367
312,46246
990,196700
1004,189807
597,80677
1216,262834
17,955
989,251240
1477,581847
569,92255
1343,509363
970,200762
387,49771
1046,257176
1471,390420
284,28170
837,168357
608,104555
386,57626
1248,341878
193,18647
504,76510
328,39417
1269,299639
1407,367099
1062,238222
984,240169
1134,262505
852,206017
128,10624
951,206067
561,92556
317,54044
132,11729
945,206780
1132,254148
596,106170
441,61144
68,5248
505,77391
1374,361086
1225,302976
943,214058
208,27150
338,32672
1127,239241
344,43549
673,104127
432,50844
1311,290874
38,2145
1415,396075
539,85982
1345,376470
776,158595
1212,311945
1148,261439
1476,354010
669,95517
881,163752
216,27980
27,1491
439,47843
934,179357
734,115365
1018,208962
1257,278166
925,178749
557,69494
829,154380
1060,222895
20,1194
1041,213334
221,28735
1406,351638
106,16000
443,61286
1079,266708
1416,375923
913,208553
985,236427
1124,272069
984,234361
1241,311085
826,180689
251,23648
840,179413
1333,344062
1269,322103
1313,309065
330,33191
562,75625
77,5760
1151,248719
685,102998
568,79835
208,27326
1027,213417
557,72217
1440,342393
532,64668
877,167719
860,150702
1478,352666
1339,305998
39,2029
103,6994
221,17968
1208,267205
341,43126
276,26696
87,6367
837,155470
1003,205890
724,109896
511,68248
1264,308256
1481,405406
1299,346929
1494,408375
685,143843
1187,299327
181,17818
586,126844
