r,n,t
8,5300,508
9,5300,508
10,5300,513
11,5300,407
12,5300,406
13,5300,407
14,5300,406
15,5300,406
16,5300,407
2,5400,1453
3,5400,934
4,5400,730
5,5400,622
6,5400,621
7,5400,518
8,5400,517
9,5400,518
10,5400,517
11,5400,418
12,5400,414
13,5400,414
14,5400,414
15,5400,414
16,5400,414
2,5500,1720
3,5500,953
4,5500,760
5,5500,634
6,5500,670
7,5500,528
8,5500,529
9,5500,528
10,5500,528
11,5500,428
12,5500,423
13,5500,422
14,5500,422
15,5500,422
16,5500,422
2,5600,1535
3,5600,972
4,5600,760
5,5600,648
6,5600,647
7,5600,540
8,5600,539
9,5600,539
10,5600,540
11,5600,434
12,5600,431
13,5600,431
14,5600,431
15,5600,432
16,5600,431
2,5700,1544
3,5700,986
4,5700,770
5,5700,657
6,5700,657
7,5700,547
8,5700,547
9,5700,547
10,5700,551
11,5700,438
12,5700,481
13,5700,437
14,5700,437
15,5700,437
16,5700,437
2,5800,1580
3,5800,1062
4,5800,781
5,5800,669
6,5800,669
7,5800,558
8,5800,557
9,5800,563
10,5800,557
11,5800,446
12,5800,445
13,5800,445
14,5800,445
15,5800,446
16,5800,445
2,5900,1600
3,5900,1025
4,5900,793
5,5900,681
6,5900,679
7,5900,566
8,5900,570
9,5900,567
10,5900,567
11,5900,453
12,5900,453
13,5900,453
14,5900,453
15,5900,453
16,5900,456
2,6000,1882
3,6000,1042
4,6000,807
5,6000,692
6,6000,752
7,6000,576
8,6000,576
9,6000,577
10,6000,577
11,6000,461
12,6000,461
13,6000,461
14,6000,461
15,6000,461
16,6000,461
2,6100,1659
3,6100,1059
4,6100,822
5,6100,708
6,6100,704
7,6100,586
8,6100,587
9,6100,586
10,6100,586
11,6100,473
12,6100,470
13,6100,469
14,6100,469
15,6100,469
16,6100,469
2,6200,1683
3,6200,1077
4,6200,833
5,6200,757
6,6200,715
7,6200,596
8,6200,595
9,6200,609
10,6200,596
11,6200,475
12,6200,476
13,6200,476
14,6200,562
15,6200,581
16,6200,490
2,6300,1729
3,6300,1090
4,6300,846
5,6300,727
6,6300,730
7,6300,606
8,6300,605
9,6300,605
10,6300,605
11,6300,483
12,6300,483
13,6300,487
14,6300,484
15,6300,484
16,6300,484
2,6400,1740
3,6400,1107
4,6400,865
5,6400,738
6,6400,738
7,6400,615
8,6400,614
9,6400,615
10,6400,618
11,6400,532
12,6400,491
13,6400,507
14,6400,671
15,6400,512
16,6400,492
2,6500,1786
3,6500,1123
4,6500,871
5,6500,748
6,6500,751
7,6500,622
8,6500,622
9,6500,622
10,6500,623
11,6500,498
12,6500,498
13,6500,501
14,6500,498
15,6500,497
16,6500,498
2,6600,1790
3,6600,1140
4,6600,889
5,6600,759
6,6600,759
7,6600,633
8,6600,632
9,6600,636
10,6600,632
11,6600,506
12,6600,506
13,6600,506
14,6600,505
15,6600,506
16,6600,549
2,6700,1833
3,6700,1364
4,6700,899
5,6700,797
6,6700,770
7,6700,678
8,6700,642
9,6700,642
