x,y
84,12013
650,104869
921,139858
1320,234285
614,103586
1366,210776
67,7333
1363,245045
222,33374
581,100754
1121,178996
244,36017
646,96780
1459,233571
1164,197462
461,66314
1154,171927
168,22566
792,132411
1464,228963
529,76834
85,11824
1320,225813
773,125888
835,137017
1010,156280
23,2117
478,69738
449,67174
118,17116
908,156651
926,170053
1428,260232
272,37150
708,124128
826,126364
1480,253930
1218,202713
42,4030
336,46873
594,93944
1229,249391
288,45594
102,14880
883,182804
465,90440
1050,204937
791,134631
269,41917
872,152561
661,117645
517,85115
1206,202920
768,116154
453,77167
512,78186
1465,277836
1192,198844
356,51794
1234,202205
888,145992
1038,155493
543,96455
620,110733
882,149215
832,133444
1072,179157
890,170007
1002,168745
921,155468
803,138619
681,110754
711,99970
1372,201829
288,42362
121,14102
502,83326
896,122069
142,16971
66,6781
949,149908
1161,292479
1006,242865
1353,380748
1418,291234
20,2315
877,191836
909,213614
868,186118
1105,253620
1342,274452
424,110267
495,84617
83,12745
1306,218879
119,17803
807,136290
692,112435
457,86695
828,134454
945,141799
31,2839
283,40835
818,135005
1378,215531
260,37491
1395,223045
116,13982
419,59951
940,160357
1054,152727
643,95757
99,14055
588,85523
539,74854
505,70893
657,101629
972,140841
811,115585
754,114207
1311,189968
127,25181
1145,169070
104,21843
18,1477
1192,220681
1210,235184
641,115759
560,108570
894,134418
1188,179780
666,92031
30,3539
1147,173965
809,114059
93,12134
413,60422
204,24636
587,84750
1078,162229
1200,181234
1247,186305
985,141125
627,87705
823,125468
385,50517
420,59351
760,106390
366,46247
140,20097
125,14955
647,94027
41,3945
506,69259
502,70265
403,62290
782,135941
1251,219457
328,52200
320,47001
576,112544
158,21898
1051,239000
110,12988
622,124309
1007,164241
69,20880
1414,237201
1058,199172
80,10920
215,34537
478,77308
775,140151
876,141536
21,2457
1194,268750
44,15021
1194,296539
1390,258849
1077,224690
456,72978
518,127198
708,119616
1430,276344
137,39543
266,78186
1272,219018
1284,271937
518,84667
34,4158
179,22247
738,127482
1015,208476
971,166372
602,91409
280,59000
575,121665
1312,227479
1199,240967
1388,230408
794,137367
520,93450
72,10793
97,13708
843,135703
1022,183055
288,54683
1342,211442
749,147445
750,142418
716,114775
1268,191485
947,138402
1168,175778
1196,180179
894,127295
1022,152522
363,58114
84,9210
935,144086
465,59972
1200,181644
1133,161904
1189,178655
1390,209127
1476,221759
716,98836
657,100770
1384,222393
957,184826
292,45562
83,11893
436,66090
482,89479
600,96966
1292,207717
116,16316
877,176914
873,157448
526,97731
202,27997
265,57385
1150,178820
44,5013
1482,250724
1500,241930
1177,190464
1159,175140
628,83267
1145,168370
396,62304
964,139775
970,138281
1447,218718
146,27590
596,82695
408,58549
1368,207858
1498,270916
1021,183447
571,104968
1022,170241
480,99677
238,33559
1159,207193
518,91003
1071,183109
1474,258950
930,171668
1005,178621
596,99301
1395,248717
946,154879
730,139191
859,142151
826,133349
1405,232620
532,80825
205,27730
1360,199492
529,84402
433,62419
1219,191410
776,109137
1320,192659
791,111125
1204,177812
847,118334
634,89603
1389,246642
1397,229544
73,8476
663,113202
33,3950
924,164929
184,24900
570,96512
56,7522
603,87558
1047,143993
892,122432
932,127332
1409,203834
464,59998
829,112203
281,35985
1037,141432
47,4986
530,68485
614,81838
1055,145572
497,68443
765,113464
530,77740
1344,196327
814,113961
358,49239
1398,203229
1094,156694
76,18066
915,141273
309,78804
598,123660
811,225540
520,78241
671,141452
783,148010
376,72758
1434,238372
733,145855
266,55976
421,80053
1315,222883
839,149735
269,39581
1408,228205
1373,239001
1454,239771
323,46244
794,136890
1359,236288
1263,209170
394,59981
1274,201675
1379,240047
178,28453
1068,173147
485,84697
604,121543
1491,260207
1025,176342
1338,230813
959,168235
99,13939
789,158323
1140,206721
288,54108
1010,167425
818,163188
1043,272037
1074,216991
1473,268226
1092,199303
956,208385
590,152228
695,168473
118,17470
869,151635
898,171583
1244,214465
773,176098
1010,269473
1061,196487
698,145135
602,130013
1024,251358
1302,251001
1023,205763
803,161328
1385,307118
86,11045
1463,273075
1189,272168
882,177812
1232,221389
591,99907
914,186756
1246,249653
1181,233362
1005,183985
216,99495
1080,208774
1280,239205
700,175715
1299,247411
363,105393
1324,196557
1366,283683
377,116323
131,57928
1032,225531
84,45580
118,16545
1047,219838
1329,286796
1318,274513
1417,272696
196,31361
1053,213779
829,157690
365,85394
1010,198425
1491,272120
1023,188808
603,135968
332,90223
167,22935
210,28144
1250,181542
1388,237816
554,206215
300,93972
308,41533
343,47690
614,140253
767,223708
517,129952
1160,231945
941,178243
1383,270717
895,193661
607,192545
1394,249224
464,83096
1055,160702
372,48183
1027,140549
916,125710
92,10216
172,21071
262,32387
693,94513
96,10536
919,125683
1167,174883
227,50116
136,24513
662,146883
1268,252873
955,204428
738,181792
1383,262607
1097,230582
733,166774
738,149579
1417,233580
454,83721
1126,198774
75,7785
825,139745
817,128240
1124,209240
519,98578
494,105538
1432,250761
749,180729
1359,259865
1168,241001
418,95269
1424,212556
38,4227
953,141359
461,177621
1184,204688
1072,218557
157,32665
354,75555
1119,186199
1470,272161
82,19663
557,157886
196,27790
973,189664
1479,261518
1010,184982
1248,227841
769,188146
1457,281605
871,202506
1026,218504
183,62763
540,118529
694,183610
562,140291
779,132705
405,54678
616,97020
574,149507
400,76169
498,91185
15,1579
1177,235932
735,147595
1016,185999
38,5125
694,142022
166,67525
159,19320
487,67024
1176,172663
1020,215166
1380,262793
1321,228003
377,169517
1285,189579
545,135839
298,68601
809,140666
1462,253755
889,209856
221,67931
1369,290683
510,92597
387,73406
846,165632
1095,201640
1471,269154
241,76669
212,28707
1450,218432
711,158169
277,65923
152,45263
996,207254
497,100630
36,13750
556,128155
349,91004
1203,178666
979,255042
886,192749
637,144297
569,137121
1428,236774
110,15514
883,185529
608,130521
25,2851
118,13852
1219,237916
611,108270
274,46451
889,152382
1203,217255
246,78150
644,94910
281,76855
461,93739
1261,224579
1160,275470
531,133309
365,57425
1454,245917
713,147540
723,149441
1078,264635
1035,221839
1025,226352
1099,200150
306,46620
1033,172921
88,12922
618,132673
832,160772
1367,240972
1130,196512
284,76025
1292,218993
485,132035
168,24178
1012,175361
170,62939
89,9999
517,113485
1138,235689
693,158881
416,101582
990,147034
451,105799
727,114094
1208,279364
1289,252947
695,131105
572,103677
1205,233959
1003,199699
48,5871
446,62605
404,58851
1276,186900
978,218507
1064,207700
391,104148
3,257
179,46683
248,57166
597,153128
1217,205670
1286,245153
756,190541
808,193115
398,111633
512,99604
1198,218192
572,91385
1500,235852
543,140095
50,6532
34,3164
32,3087
698,145836
1265,250122
295,76127
361,83846
430,187759
1099,188599
430,95602
234,30168
697,109968
810,161735
1354,262371
167,134173
1327,197697
297,66926
102,30764
738,148498
812,147637
1359,245835
564,129055
46,6086
650,92179
694,148987
1252,221565
715,221865
840,185345
1307,242297
256,79076
355,48781
940,139245
528,153811
1092,165324
1132,215506
1426,260871
1427,309815
482,75315
301,58104
1310,231136
1028,190242
374,64874
1328,286114
1225,199791
1277,216424
927,197361
916,196264
1385,242752
1443,261180
548,139647
972,152571
1382,243036
1484,338497
1326,240792
1116,203584
810,156405
83,10705
1267,226083
396,60737
237,41990
407,52651
1066,147630
108,12437
40,3895
171,20637
229,28302
1037,142166
560,74209
569,74879
297,37415
1110,154472
920,127342
976,133730
41,4107
496,63042
194,24077
1333,190600
287,36065
1085,220661
465,98850
680,148275
1292,224764
1147,278054
418,110274
191,37947
1404,242088
1473,265960
654,107307
1304,257919
395,64505
132,20840
387,63030
918,158673
1236,291315
1194,215133
1447,236696
1296,239583
1260,223260
477,119234
178,70660
1026,193664
271,79337
753,110199
1114,231605
1194,234511
1351,315645
18,25844
942,175955
690,143095
41,5263
834,186067
407,95865
1459,279005
942,152796
1077,178620
543,74902
17,1773
1193,255603
1307,232478
1414,297305
551,109283
962,180435
1365,293913
187,28950
245,78813
103,15354
1280,206661
994,205679
605,119877
832,188804
686,160542
603,110274
1426,302292
42,14223
829,189789
996,162972
212,28942
704,147093
1115,281119
551,99817
639,128212
1069,218283
447,82080
1358,230101
823,152859
1436,245908
876,164657
320,46966
80,10638
519,114777
828,164425
761,182625
806,179193
771,152535
276,67100
1242,224141
490,149373
857,178940
1197,215504
90,22391
622,105829
1309,227605
1224,246643
560,101110
512,104776
749,154270
1058,206583
291,83789
1116,165264
1002,264643
139,63944
682,148471
760,175378
730,160729
995,186053
949,207854
961,202626
221,71440
1241,217054
403,100042
1102,188912
463,90927
408,77965
103,14300
1058,193341
1078,194936
1439,272357
1367,251804
999,187889
1017,251832
29,3181
1233,226962
1247,219898
817,193178
624,188521
359,55424
633,109157
1163,219972
567,122500
1216,194547
494,93949
357,70475
385,60524
888,157508
202,32882
1407,235190
546,98905
11,1294
835,178028
1354,237262
1263,296226
651,175188
188,33718
687,134204
419,68333
106,14122
502,103051
185,41232
515,94619
782,134333
1383,230360
721,124929
15,1587
150,31210
850,153009
284,46803
949,179532
147,22412
1033,185341
1196,202764
1098,192604
117,17652
807,127569
885,150025
345,50646
359,52083
489,72159
1056,154364
1068,172817
854,130200
791,133956
73,7956
196,26946
379,53503
626,96310
980,146659
1302,214609
581,118942
1092,188789
581,76790
1028,175495
885,149953
65,6679
169,21261
1350,220336
1192,192096
661,107905
1306,198551
540,120264
1090,210225
350,59405
203,31401
371,56721
1100,172951
384,102688
1114,189876
1008,175375
834,141992
126,14385
839,159500
738,128500
981,164221
63,16717
1283,228118
585,89275
1339,217709
1034,178935
1019,175250
1462,247655
173,30945
1337,249278
1067,187796
968,171590
503,85468
944,150923
261,41374
276,39005
1438,213192
798,163447
625,112734
202,34834
473,84040
343,96751
393,63232
1386,240478
979,166206
350,55863
506,98555
511,91788
693,136415
1001,164246
725,123579
80,11045
684,98473
991,164678
62,16730
1462,259083
1214,199396
972,161432
709,107799
402,60545
416,63044
500,73254
191,28201
1133,189047
1349,204520
751,124665
1467,221451
125,17887
192,27760
1266,199022
811,121245
1212,201085
523,68776
1011,153549
290,46597
916,172682
1099,187545
282,44842
1288,223317
1310,216027
1088,225465
1268,206055
1435,233736
307,43925
1160,178003
206,56686
860,170591
1129,193073
1368,221996
932,157406
1113,190919
777,133678
365,73304
868,143188
1394,231423
1073,190890
1404,232272
